date,account,category,amount,currency,converted amount,currency,description
01/11/2018,Cash,Savings,"14,300",SYP,30.301,USD,شنتاية
01/11/2018,Cash,Salary,"275,000",SYP,582.725,USD,راتب
01/11/2018,Cash,Eating out,"-2,500",SYP,-5.297,USD,مشوار فراس
01/11/2018,Cash,Eating out,"-2,500",SYP,-5.297,USD,مشوار فراس
02/11/2018,Cash,Entertainment,"-3,000",SYP,-6.357,USD,سواح
02/11/2018,Cash,Deposits,"-10,000",SYP,-21.19,USD,جمعية
03/11/2018,Cash,Food,"-2,000",SYP,-4.238,USD,بطاطا
04/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
05/11/2018,Cash,Transport,-100,SYP,-0.211,USD,
06/11/2018,Cash,Transport,-300,SYP,-0.635,USD,
06/11/2018,Cash,Entertainment,-300,SYP,-0.635,USD,شاي
06/11/2018,Cash,Bills,"-5,500",SYP,-11.654,USD,تسجيل الجامعة
07/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
07/11/2018,Cash,Taxi,-500,SYP,-1.059,USD,
07/11/2018,Cash,Eating out,-500,SYP,-1.059,USD,
07/11/2018,Cash,Entertainment,"-1,000",SYP,-2.119,USD,صيف وشتا
08/11/2018,Cash,Entertainment,"-1,000",SYP,-2.119,USD,يارا
08/11/2018,Cash,Transport,-250,SYP,-0.529,USD,
08/11/2018,Cash,Toiletry,-500,SYP,-1.059,USD,محارم
09/11/2018,Cash,Sports,-800,SYP,-1.695,USD,
09/11/2018,Cash,Transport,-100,SYP,-0.211,USD,
09/11/2018,Cash,Food,-150,SYP,-0.317,USD,مي بعد الملعب 
10/11/2018,Cash,Transport,-150,SYP,-0.317,USD,
10/11/2018,Cash,Eating out,-300,SYP,-0.635,USD,بطاطا
11/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
12/11/2018,Cash,Transport,-300,SYP,-0.635,USD,
12/11/2018,Cash,Entertainment,-600,SYP,-1.271,USD,نسكافيه
13/11/2018,Cash,Eating out,"-1,000",SYP,-2.119,USD,
13/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
14/11/2018,Cash,Eating out,-200,SYP,-0.423,USD,
14/11/2018,Cash,Transport,-250,SYP,-0.529,USD,
15/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
16/11/2018,Cash,Entertainment,"-3,400",SYP,-7.204,USD,سواح
17/11/2018,Cash,Transport,-100,SYP,-0.211,USD,
18/11/2018,Cash,Eating out,-400,SYP,-0.847,USD,
18/11/2018,Cash,Transport,-150,SYP,-0.317,USD,
19/11/2018,Cash,Sports,"-1,000",SYP,-2.119,USD,
19/11/2018,Cash,Taxi,-500,SYP,-1.059,USD,
19/11/2018,Cash,Transport,-350,SYP,-0.741,USD,
20/11/2018,Cash,Food,"-2,000",SYP,-4.238,USD,برازق
20/11/2018,Cash,Eating out,"-1,300",SYP,-2.754,USD,فروج
20/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
21/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
22/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
24/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
24/11/2018,Cash,Entertainment,"-1,200",SYP,-2.542,USD,ابو احمد
25/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
26/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
26/11/2018,Cash,Sports,-800,SYP,-1.695,USD,
26/11/2018,Cash,Taxi,-500,SYP,-1.059,USD,
27/11/2018,Cash,Eating out,-200,SYP,-0.423,USD,اندومي
27/11/2018,Cash,Transport,-150,SYP,-0.317,USD,
28/11/2018,Cash,Transport,-200,SYP,-0.423,USD,
28/11/2018,Cash,Shaving,"-1,000",SYP,-2.119,USD,
29/11/2018,Cash,Transport,-150,SYP,-0.317,USD,
30/11/2018,Cash,Bills,"-2,500",SYP,-5.297,USD,عبد
30/11/2018,Cash,Taxi,-500,SYP,-1.059,USD,
30/11/2018,Cash,Transport,-50,SYP,-0.105,USD,
30/11/2018,Cash,Eating out,"-1,700",SYP,-3.602,USD,فروج
30/11/2018,Cash,Entertainment,"-1,500",SYP,-3.178,USD,سواح
01/12/2018,Cash,Taxi,"-1,000",SYP,-2.119,USD,
01/12/2018,Cash,Entertainment,"-1,700",SYP,-3.602,USD,Verdant
01/12/2018,Cash,Transport,-100,SYP,-0.211,USD,
01/12/2018,Cash,Eating out,"-2,100",SYP,-4.449,USD,
01/12/2018,Cash,Entertainment,"-1,000",SYP,-2.119,USD,Laser tag 
02/12/2018,Cash,Salary,"150,000",SYP,317.85,USD,
02/12/2018,Cash,Deposits,"-10,000",SYP,-21.19,USD,جمعية
02/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
03/12/2018,Cash,Transport,-250,SYP,-0.529,USD,
04/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
04/12/2018,Cash,Bills,"-2,000",SYP,-4.238,USD,نقوط محمود
05/12/2018,Cash,Transport,-250,SYP,-0.529,USD,
06/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
07/12/2018,Cash,Eating out,"-2,000",SYP,-4.238,USD,
07/12/2018,Cash,Entertainment,"-1,400",SYP,-2.966,USD,سواح
08/12/2018,Cash,Food,-500,SYP,-1.059,USD,برتقال
08/12/2018,Cash,Communications,-500,SYP,-1.059,USD,وحدات
08/12/2018,Cash,Entertainment,-200,SYP,-0.423,USD,كولا
08/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
09/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
09/12/2018,Cash,Eating out,-200,SYP,-0.423,USD,اندومي
09/12/2018,Cash,Entertainment,-700,SYP,-1.483,USD,عمار
09/12/2018,Cash,Clothes,"-8,000",SYP,-16.952,USD,
09/12/2018,Cash,Entertainment,-800,SYP,-1.695,USD,ابو احمد
10/12/2018,Cash,Transport,-300,SYP,-0.635,USD,
10/12/2018,Cash,Taxi,-500,SYP,-1.059,USD,
10/12/2018,Cash,Sports,-800,SYP,-1.695,USD,
11/12/2018,Cash,Transport,-250,SYP,-0.529,USD,
11/12/2018,Cash,Taxi,-500,SYP,-1.059,USD,
12/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
14/12/2018,Cash,To 'Bank',"-100,000",SYP,-211.9,USD,
14/12/2018,Bank,From 'Cash',"100,000",SYP,211.9,USD,
14/12/2018,Cash,Transport,-200,SYP,-0.423,USD,
14/12/2018,Cash,Eating out,"-1,300",SYP,-2.754,USD,
14/12/2018,Cash,Entertainment,"-1,600",SYP,-3.39,USD,
15/12/2018,Cash,Food,-600,SYP,-1.271,USD,قطايف
15/12/2018,Cash,Bills,"-1,500",SYP,-3.178,USD,عدرا 
16/12/2018,Cash,Entertainment,"-1,000",SYP,-2.119,USD,
16/12/2018,Cash,Eating out,"-1,000",SYP,-2.119,USD,
16/12/2018,Cash,Transport,-200,SYP,-0.423,USD,
17/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
18/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
18/12/2018,Cash,Communications,-350,SYP,-0.741,USD,
18/12/2018,Cash,Entertainment,"-1,000",SYP,-2.119,USD,Error 404
19/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
19/12/2018,Cash,Entertainment,-150,SYP,-0.317,USD,عصير
19/12/2018,Cash,Health,"-2,000",SYP,-4.238,USD,
19/12/2018,Cash,Eating out,"-1,600",SYP,-3.39,USD,شاورما
20/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
20/12/2018,Cash,Entertainment,"-1,100",SYP,-2.33,USD,Error 404
20/12/2018,Cash,Eating out,-900,SYP,-1.907,USD,كرانشي
22/12/2018,Cash,Entertainment,"-1,500",SYP,-3.178,USD,سواح
22/12/2018,Cash,Eating out,"-1,400",SYP,-2.966,USD,فروج
22/12/2018,Cash,Transport,-100,SYP,-0.211,USD,
22/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
22/12/2018,Cash,Electronics,-500,SYP,-1.059,USD,وصلة شاحن
23/12/2018,Cash,Transport,-150,SYP,-0.317,USD,
23/12/2018,Cash,Eating out,-500,SYP,-1.059,USD,اندومي
24/12/2018,Cash,Transport,-450,SYP,-0.953,USD,
24/12/2018,Cash,Eating out,"-2,000",SYP,-4.238,USD,فطاير
25/12/2018,Cash,Transport,-200,SYP,-0.423,USD,
25/12/2018,Cash,Eating out,-200,SYP,-0.423,USD,فطاير
26/12/2018,Cash,Sports,-350,SYP,-0.741,USD,بلياردو
26/12/2018,Cash,Entertainment,-350,SYP,-0.741,USD,سماح
26/12/2018,Cash,Transport,-200,SYP,-0.423,USD,
27/12/2018,Cash,Transport,-200,SYP,-0.423,USD,
28/12/2018,Cash,Eating out,"-1,300",SYP,-2.754,USD,فروج
28/12/2018,Cash,Entertainment,"-1,600",SYP,-3.39,USD,سواح
30/12/2018,Cash,Entertainment,"-1,500",SYP,-3.178,USD,سواح
30/12/2018,Cash,Eating out,"-1,200",SYP,-2.542,USD,شاورما
31/12/2018,Cash,Sports,-800,SYP,-1.695,USD,
31/12/2018,Cash,Taxi,-800,SYP,-1.695,USD,
31/12/2018,Cash,Eating out,-400,SYP,-0.847,USD,حلاوة الجبن 
31/12/2018,Cash,Transport,-300,SYP,-0.635,USD,
01/01/2019,Cash,Deposits,"-10,000",SYP,-20,USD,جمعية
01/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
01/01/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,احلى لمة
01/01/2019,Cash,Gifts,"-2,500",SYP,-5,USD,
02/01/2019,Cash,Eating out,-800,SYP,-1.6,USD,اسكالوب
02/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
03/01/2019,Cash,Salary,"150,000",SYP,300,USD,
03/01/2019,Bank,Savings,"50,000",SYP,100,USD,
03/01/2019,Cash,To 'Bank',"-50,000",SYP,-100,USD,
03/01/2019,Bank,From 'Cash',"50,000",SYP,100,USD,
03/01/2019,Cash,House,"-2,800",SYP,-5.6,USD,قهوة
03/01/2019,Cash,Eating out,"-2,000",SYP,-4,USD,فطاير
04/01/2019,Cash,Eating out,"-2,000",SYP,-4,USD,كرانشي
04/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
04/01/2019,Cash,Entertainment,"-1,500",SYP,-3,USD,سواح
05/01/2019,Cash,Eating out,-550,SYP,-1.1,USD,فطاير
05/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
06/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
07/01/2019,Cash,Babies,"-1,500",SYP,-3,USD,
07/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
07/01/2019,Cash,Salary,"20,000",SYP,40,USD,اضافي
08/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
08/01/2019,Cash,Bills,-150,SYP,-0.3,USD,سماح
09/01/2019,Cash,Communications,"-1,000",SYP,-2,USD,
09/01/2019,Cash,Eating out,-600,SYP,-1.2,USD,شاورما
09/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
10/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
11/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
11/01/2019,Cash,Entertainment,"-1,100",SYP,-2.2,USD,سواح
11/01/2019,Cash,Eating out,"-2,200",SYP,-4.4,USD,وايت تشكن
12/01/2019,Cash,Shaving,"-1,000",SYP,-2,USD,
